M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
2880_4640_384,5.1314688,315.76559546313797,2120,1442,2628
2880_4640_1920,25.657344,922.8729281767955,2678,2531,2788
2880_4640_3456,46.1832192,1173.5831381733021,2741,2617,2815
2880_4640_4992,66.7090944,1310.5129752564876,2766,2643,2821
2880_4640_6528,87.2349696,1396.7929168716182,2787,2708,2824
2880_5280_384,5.8392576,318.39195979899495,2110,1579,2658
2880_5280_1920,29.196288,945.6716417910447,2697,2510,2804
2880_5280_3456,52.5533184,1210.7006369426751,2753,2629,2821
2880_5280_4992,75.9103488,1356.9686985172982,2778,2704,2820
2880_5280_6528,99.2673792,1449.6904441453567,2798,2730,2829
2880_5920_384,6.5470464,320.4812030075188,2257,1697,2684
2880_5920_1920,32.735232,964.3438914027149,2720,2581,2826
2880_5920_3456,58.9234176,1241.4757281553398,2767,2636,2821
2880_5920_4992,85.1116032,1395.7481108312343,2790,2734,2828
2880_5920_6528,111.2997888,1494.0371134020618,2813,2763,2843
2880_6560_384,7.2548352,322.18281036834924,2351,1872,2667
2880_6560_1920,36.274176,979.9170124481328,2733,2646,2817
2880_6560_3456,65.2935168,1267.4060822898032,2775,2666,2827
2880_6560_4992,94.3128576,1428.6086551884598,2789,2747,2819
2880_6560_6528,123.3321984,1531.7512399847387,2816,2764,2841
2880_7200_384,7.962624,323.59550561797755,2419,1854,2714
2880_7200_1920,39.81312,993.1034482758621,2744,2472,2822
2880_7200_3456,71.663616,1289.55223880597,2777,2715,2828
2880_7200_4992,103.514112,1456.8093385214008,2803,2739,2834
2880_7200_6528,135.364608,1564.217252396166,2821,2790,2849
